Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,Weekday
store 6,1572117.54,N,59.61,3.045,214.7775231,6.858,2011.0,2.0,18.0,4.0
store 13,1807545.43,N,42.38,3.435,128.6160645,7.47,2011.0,3.0,25.0,4.0
store 11,1244390.03,N,84.57,,214.55649680000005,7.346,,,,
store 6,1644470.66,N,78.89,2.759,212.412888,7.0920000000000005,2010.0,5.0,28.0,4.0
store 4,1857533.7,N,,2.756,126.1602258,7.896,2010.0,5.0,28.0,4.0
store 15,695396.19,N,69.8,4.069,134.85516130000002,7.657999999999999,2011.0,3.0,6.0,6.0
store 20,2203523.2,N,39.93,3.617,213.0236225,6.961,2012.0,3.0,2.0,4.0
store 3,418925.47,N,60.12,3.555,224.1320199,6.832999999999998,,,,
store 8,895066.5,N,82.92,3.554,219.07019680000005,6.425,2011.0,8.0,19.0,4.0
store 18,1029618.1,N,52.02,2.878,132.7633548,9.331,2010.0,10.0,15.0,4.0
store 7,414094.05,N,36.61,3.767,192.826069,8.595,2011.0,5.0,13.0,4.0
store 1,1677472.78,N,64.74,3.734,221.2118132,7.348,2012.0,3.0,16.0,4.0
store 17,829207.27,N,60.07,2.853,126.2346,6.885,2010.0,1.0,10.0,6.0
store 6,1498080.16,N,68.91,2.78,211.8942725,7.0920000000000005,2010.0,4.0,30.0,4.0
store 13,1997397.63,N,76.34,2.85,,7.951,2010.0,8.0,20.0,4.0
store 18,1205307.5,N,21.33,2.7880000000000003,131.52790320000005,9.202,,,,
store 2,2432736.52,N,50.13,,,7.441,2011.0,12.0,16.0,4.0
store 7,561145.14,N,38.26,2.725,189.7048215,8.963,2010.0,2.0,4.0,3.0
store 5,290930.01,N,77.38,3.899,216.5343611,6.489,2011.0,5.0,13.0,4.0
store 18,1074079.0,N,50.97,4.029,138.9117,8.243,2012.0,12.0,10.0,0.0
store 19,1427023.45,N,39.07,2.963,131.863129,8.35,2010.0,3.0,26.0,4.0
store 19,1405007.44,N,50.76,4.124,138.0332,8.15,2012.0,4.0,5.0,3.0
store 17,919878.34,N,44.82,3.797,131.1083333,5.527,2012.0,12.0,10.0,0.0
store 3,367438.62,N,51.86,3.261,,6.832999999999998,2012.0,1.0,13.0,4.0
store 16,435397.19,N,43.95,3.828,192.831317,6.339,2011.0,5.0,20.0,4.0
store 17,757738.76,N,45.22,2.915,126.5621,6.635,2010.0,4.0,16.0,4.0
store 6,1420405.41,N,,3.523,217.2706543,6.925,2011.0,8.0,26.0,4.0
store 7,563460.77,Y,18.79,3.103,196.9195056,8.256,2012.0,10.0,2.0,1.0
store 14,2077256.24,Y,37.0,,,8.424,2012.0,10.0,2.0,1.0
store 19,1266564.94,N,33.26,3.789,133.9587419,7.771,2011.0,3.0,25.0,4.0
store 3,365248.94,N,80.19,3.467,219.7414914,7.567,2011.0,9.0,23.0,4.0
store 18,988157.72,N,,3.823,134.2784667,8.975,2011.0,4.0,15.0,4.0
store 4,2008344.92,N,81.85,3.57,129.0663,5.9460000000000015,2011.0,6.0,24.0,4.0
store 5,311906.7,N,60.71,3.297,218.5699621,6.3,2011.0,11.0,11.0,4.0
store 18,961186.23,N,50.43,4.023,137.9781333,8.304,2012.0,4.0,27.0,4.0
store 16,526525.16,N,,3.659,198.1267184,6.061,2012.0,9.0,14.0,4.0
store 1,1661767.33,Y,,3.73,222.4390153,6.908,,,,
store 7,629994.47,N,57.6,3.485,194.3796374,8.622,2011.0,8.0,26.0,4.0
store 1,1641957.44,Y,38.51,2.548,211.24216980000003,8.106,2010.0,12.0,2.0,3.0
store 2,1861802.7,N,54.63,3.555,220.275944,7.057,2012.0,2.0,24.0,4.0
store 5,268929.03,N,82.46,2.64,211.9270006,6.496,2010.0,7.0,30.0,4.0
store 19,1549018.68,N,66.25,2.958,132.5218667,8.099,2010.0,2.0,7.0,6.0
store 1,1624383.75,N,91.65,3.684,215.544618,7.9620000000000015,2011.0,5.0,8.0,6.0
store 16,485095.41,N,48.29,3.75,197.4133259,6.162000000000001,2012.0,3.0,30.0,4.0
store 13,2035431.39,N,61.11,3.788,130.95922579999998,5.965,2012.0,1.0,6.0,4.0
store 2,1916812.74,N,59.69,2.728,211.6608975,8.163,2010.0,12.0,11.0,5.0
